2020-12-08 17:03:53|null|{"newsKey":"openion","carousel_value":"openion_news_1977445","MESSENGER_ID":"4856103587734863","fbclid":"IwAR03Vcwsye64yJckRkjVOBHuUQnjy70XzoGzVt4diT9sYgSezxNPIJFKV9o"}|"openion"|"https:\/\/www.thedailystar.net\/opinion\/news\/facade-workers-safety-beginning-show-cracks-during-the-pandemic-1977445"|
2020-12-08 17:13:56|null|{"newsKey":"shout","carousel_value":"shout_news_1974085","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/hsc-2020-cancelled-you-cant-make-everyone-happy-1974085"|
2020-12-08 17:13:57|null|{"newsKey":"shout","carousel_value":"shout_news_1974293","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-stages-deciding-post-feminist-opinions-1974293"|
2020-12-08 17:14:00|null|{"newsKey":"shout","carousel_value":"shout_news_1976805","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-daily-star-genius-first-round-match-2-1976805"|
2020-12-08 17:14:03|null|{"newsKey":"shout","carousel_value":"shout_news_1974293","MESSENGER_ID":"4856103587734863"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/the-stages-deciding-post-feminist-opinions-1974293"|
2020-12-08 18:48:00|null|{"newsKey":"shout","carousel_value":"shout_news_1974085","MESSENGER_ID":"4856103587734863","fbclid":"IwAR2pCcC8zNIXlQDw5jqhwxOt0h59saGi8gkeFv5G0nSc_CfFThKA38-U3ak"}|"shout"|"https:\/\/www.thedailystar.net\/shout\/news\/hsc-2020-cancelled-you-cant-make-everyone-happy-1974085"|
2020-12-08 18:48:37|null|{"newsKey":"law","carousel_value":"law_news_2003797","MESSENGER_ID":"4856103587734863"}|"law"|"https:\/\/www.thedailystar.net\/bot-law-our-rights\/news\/gender-neutrality-rape-law-2003797"|
2020-12-08 18:48:37|null|{"newsKey":"law","carousel_value":"law_news_2003797","MESSENGER_ID":"4856103587734863"}|"law"|"https:\/\/www.thedailystar.net\/bot-law-our-rights\/news\/gender-neutrality-rape-law-2003797"|
2020-12-08 18:48:40|null|{"newsKey":"law","carousel_value":"law_news_2003797","MESSENGER_ID":"4856103587734863"}|"law"|"https:\/\/www.thedailystar.net\/bot-law-our-rights\/news\/gender-neutrality-rape-law-2003797"|
2020-12-08 18:48:40|null|{"newsKey":"law","carousel_value":"law_news_2003797","MESSENGER_ID":"4856103587734863"}|"law"|"https:\/\/www.thedailystar.net\/bot-law-our-rights\/news\/gender-neutrality-rape-law-2003797"|
2020-12-08 18:48:41|null|{"newsKey":"law","carousel_value":"law_news_2003797","MESSENGER_ID":"4856103587734863"}|"law"|"https:\/\/www.thedailystar.net\/bot-law-our-rights\/news\/gender-neutrality-rape-law-2003797"|
2020-12-08 18:48:43|null|{"newsKey":"law","carousel_value":"law_news_2003797","MESSENGER_ID":"4856103587734863"}|"law"|"https:\/\/www.thedailystar.net\/bot-law-our-rights\/news\/gender-neutrality-rape-law-2003797"|
